x	 y	 z	 vx	 vy	 vz	 [v]
-5.385202	 -0.840171	 -0.229015	 0.001100	 -0.006519	 -0.002821	 0.007187
-5.384102	 -0.846690	 -0.231836	 0.001110	 -0.006517	 -0.002820	 0.007187
-5.382992	 -0.853207	 -0.234656	 0.001120	 -0.006516	 -0.002820	 0.007187
-5.381873	 -0.859722	 -0.237476	 0.001129	 -0.006514	 -0.002819	 0.007187
-5.380744	 -0.866237	 -0.240295	 0.001139	 -0.006512	 -0.002819	 0.007187
-5.379604	 -0.872749	 -0.243114	 0.001149	 -0.006511	 -0.002819	 0.007187
-5.378455	 -0.879260	 -0.245933	 0.001159	 -0.006509	 -0.002818	 0.007187
-5.377296	 -0.885769	 -0.248751	 0.001169	 -0.006508	 -0.002818	 0.007187
-5.376128	 -0.892277	 -0.251568	 0.001178	 -0.006506	 -0.002817	 0.007187
-5.374949	 -0.898783	 -0.254386	 0.001188	 -0.006504	 -0.002817	 0.007187
-5.373761	 -0.905287	 -0.257202	 0.001198	 -0.006503	 -0.002816	 0.007187
-5.372563	 -0.911790	 -0.260019	 0.001208	 -0.006501	 -0.002816	 0.007187
-5.371356	 -0.918292	 -0.262834	 0.001218	 -0.006500	 -0.002815	 0.007187
-5.370138	 -0.924791	 -0.265650	 0.001227	 -0.006498	 -0.002815	 0.007187
-5.368911	 -0.931289	 -0.268464	 0.001237	 -0.006496	 -0.002814	 0.007187
-5.367673	 -0.937785	 -0.271279	 0.001247	 -0.006494	 -0.002814	 0.007187
-5.366426	 -0.944280	 -0.274093	 0.001257	 -0.006493	 -0.002813	 0.007187
-5.365170	 -0.950772	 -0.276906	 0.001267	 -0.006491	 -0.002813	 0.007187
-5.363903	 -0.957263	 -0.279719	 0.001276	 -0.006489	 -0.002812	 0.007187
-5.362627	 -0.963753	 -0.282531	 0.001286	 -0.006488	 -0.002812	 0.007187
-5.361341	 -0.970240	 -0.285343	 0.001296	 -0.006486	 -0.002811	 0.007187
-5.360044	 -0.976726	 -0.288154	 0.001306	 -0.006484	 -0.002811	 0.007187
-5.358739	 -0.983210	 -0.290965	 0.001315	 -0.006482	 -0.002810	 0.007187
-5.357423	 -0.989692	 -0.293776	 0.001325	 -0.006480	 -0.002810	 0.007187
-5.356098	 -0.996173	 -0.296585	 0.001335	 -0.006479	 -0.002809	 0.007187
-5.354764	 -1.002652	 -0.299395	 0.001345	 -0.006477	 -0.002809	 0.007187
-5.353419	 -1.009128	 -0.302203	 0.001354	 -0.006475	 -0.002808	 0.007187
-5.352065	 -1.015603	 -0.305011	 0.001364	 -0.006473	 -0.002808	 0.007186
