x	 y	 z	 vx	 vy	 vz	 [v]
-0.759908	 -0.305398	 -0.517925	 -0.009506	 -0.004538	 -0.002946	 0.013852
-0.820370	 -1.183936	 -0.520872	 0.012344	 -0.005603	 -0.002904	 0.013864
-0.808025	 -1.189539	 -0.523775	 0.012412	 -0.005506	 -0.002861	 0.013876
-0.795613	 -1.195045	 -0.526636	 0.012479	 -0.005408	 -0.002818	 0.013889
-0.783134	 -1.200453	 -0.529454	 0.012545	 -0.005309	 -0.002774	 0.013901
-0.770590	 -1.205762	 -0.532228	 0.012609	 -0.005209	 -0.002730	 0.013914
-0.757980	 -1.210971	 -0.534958	 0.012674	 -0.005109	 -0.002686	 0.013926
-0.745307	 -1.216080	 -0.537643	 0.012737	 -0.005008	 -0.002641	 0.013938
-0.732570	 -1.221088	 -0.540285	 0.012799	 -0.004906	 -0.002596	 0.013951
-0.719771	 -1.225994	 -0.542881	 0.012860	 -0.004804	 -0.002551	 0.013963
-0.706911	 -1.230798	 -0.545432	 0.012921	 -0.004701	 -0.002505	 0.013976
-0.693990	 -1.235500	 -0.547938	 0.012980	 -0.004598	 -0.002460	 0.013988
-0.681009	 -1.240097	 -0.550397	 0.013039	 -0.004493	 -0.002413	 0.014001
-0.667971	 -1.244591	 -0.552810	 0.013096	 -0.004388	 -0.002367	 0.014014
-0.654874	 -1.248979	 -0.555177	 0.013153	 -0.004283	 -0.002320	 0.014026
-0.641721	 -1.253262	 -0.557497	 0.013209	 -0.004177	 -0.002273	 0.014039
-0.628512	 -1.257439	 -0.559770	 0.013263	 -0.004070	 -0.002225	 0.014051
-0.615249	 -1.261509	 -0.561995	 0.013317	 -0.003963	 -0.002177	 0.014064
-0.601932	 -1.265471	 -0.564172	 0.013370	 -0.003855	 -0.002129	 0.014076
-0.588562	 -1.269326	 -0.566301	 0.013422	 -0.003746	 -0.002081	 0.014089
-0.575140	 -1.273072	 -0.568382	 0.013472	 -0.003637	 -0.002032	 0.014102
-0.561668	 -1.276708	 -0.570414	 0.013522	 -0.003527	 -0.001983	 0.014114
-0.548146	 -1.280235	 -0.572397	 0.013570	 -0.003416	 -0.001934	 0.014127
-0.534576	 -1.283652	 -0.574331	 0.013618	 -0.003305	 -0.001884	 0.014139
-0.520958	 -1.286957	 -0.576215	 0.013664	 -0.003194	 -0.001834	 0.014152
-0.507294	 -1.290151	 -0.578049	 0.013710	 -0.003082	 -0.001784	 0.014165
-0.493584	 -1.293233	 -0.579834	 0.013754	 -0.002969	 -0.001734	 0.014177
-0.479830	 -1.296202	 -0.581567	 0.013797	 -0.002856	 -0.001683	 0.014190
-0.466033	 -1.299058	 -0.583250	 0.013839	 -0.002742	 -0.001632	 0.014202
-0.452193	 -1.301800	 -0.584882	 0.013880	 -0.002628	 -0.001580	 0.014215
-0.438313	 -1.304428	 -0.586462	 0.013920	 -0.002513	 -0.001529	 0.014228
-0.424393	 -1.306941	 -0.587991	 0.013959	 -0.002398	 -0.001477	 0.014240
-0.410434	 -1.309339	 -0.589468	 0.013997	 -0.002282	 -0.001425	 0.014253
-0.396437	 -1.311621	 -0.590893	 0.014033	 -0.002166	 -0.001372	 0.014265
-0.382404	 -1.313786	 -0.592265	 0.014068	 -0.002049	 -0.001320	 0.014278
-0.368336	 -1.315835	 -0.593585	 0.014102	 -0.001931	 -0.001267	 0.014290
-0.354233	 -1.317766	 -0.594852	 0.014135	 -0.001814	 -0.001214	 0.014303
-0.340098	 -1.319580	 -0.596066	 0.014167	 -0.001695	 -0.001160	 0.014315
-0.325931	 -1.321275	 -0.597226	 0.014198	 -0.001577	 -0.001107	 0.014328
-0.311733	 -1.322852	 -0.598333	 0.014227	 -0.001458	 -0.001053	 0.014340
