x	 y	 z	 vx	 vy	 vz	 [v]
0.050801	 -0.401164	 -0.219558	 0.022319	 0.004856	 0.000279	 0.022843
0.073120	 -0.396309	 -0.219278	 0.022164	 0.006074	 0.000946	 0.023001
0.095284	 -0.390235	 -0.218332	 0.021940	 0.007289	 0.001618	 0.023176
0.117225	 -0.382946	 -0.216714	 0.021645	 0.008497	 0.002294	 0.023366
0.138870	 -0.374449	 -0.214420	 0.021278	 0.009697	 0.002973	 0.023572
0.160148	 -0.364752	 -0.211447	 0.020837	 0.010887	 0.003655	 0.023792
0.180985	 -0.353865	 -0.207792	 0.020320	 0.012063	 0.004337	 0.024026
0.201305	 -0.341802	 -0.203455	 0.019726	 0.013224	 0.005018	 0.024273
0.221031	 -0.328578	 -0.198437	 0.019054	 0.014366	 0.005698	 0.024534
0.240085	 -0.314212	 -0.192739	 0.018302	 0.015484	 0.006373	 0.024806
0.258387	 -0.298728	 -0.186366	 0.017467	 0.016577	 0.007043	 0.025090
0.275854	 -0.282151	 -0.179322	 0.016549	 0.017638	 0.007706	 0.025384
0.292403	 -0.264513	 -0.171617	 0.015547	 0.018663	 0.008357	 0.025688
0.307949	 -0.245850	 -0.163260	 0.014458	 0.019648	 0.008996	 0.026000
0.322408	 -0.226202	 -0.154264	 0.013284	 0.020585	 0.009618	 0.026320
0.335692	 -0.205617	 -0.144645	 0.012023	 0.021470	 0.010222	 0.026646
0.347715	 -0.184147	 -0.134424	 0.010677	 0.022295	 0.010802	 0.026976
0.358392	 -0.161853	 -0.123622	 0.009245	 0.023053	 0.011355	 0.027310
0.367637	 -0.138800	 -0.112266	 0.007731	 0.023736	 0.011878	 0.027645
0.375368	 -0.115064	 -0.100389	 0.006137	 0.024338	 0.012364	 0.027980
0.381506	 -0.090725	 -0.088025	 0.004468	 0.024850	 0.012811	 0.028312
0.385974	 -0.065876	 -0.075214	 0.002729	 0.025263	 0.013212	 0.028640
0.388703	 -0.040612	 -0.062002	 0.000927	 0.025571	 0.013563	 0.028960
0.389630	 -0.015041	 -0.048439	 -0.000929	 0.025765	 0.013859	 0.029271
