x	 y	 z	 vx	 vy	 vz	 [v]
1.081273	 0.465119	 0.299600	 0.001313	 0.000617	 -0.004361	 0.017441
-0.648340	 0.680823	 0.295239	 -0.013238	 -0.010446	 -0.004453	 0.017441
-0.661578	 0.670376	 0.290786	 -0.013037	 -0.010657	 -0.004545	 0.017441
-0.674615	 0.659720	 0.286241	 -0.012833	 -0.010864	 -0.004635	 0.017441
-0.687448	 0.648856	 0.281606	 -0.012625	 -0.011067	 -0.004723	 0.017441
-0.700073	 0.637788	 0.276883	 -0.012413	 -0.011268	 -0.004810	 0.017440
-0.712485	 0.626521	 0.272074	 -0.012197	 -0.011464	 -0.004895	 0.017440
-0.724683	 0.615057	 0.267178	 -0.011978	 -0.011657	 -0.004979	 0.017440
-0.736660	 0.603400	 0.262200	 -0.011755	 -0.011846	 -0.005061	 0.017439
-0.748415	 0.591554	 0.257139	 -0.011529	 -0.012031	 -0.005141	 0.017438
-0.759944	 0.579523	 0.251997	 -0.011299	 -0.012213	 -0.005220	 0.017438
-0.771243	 0.567310	 0.246777	 -0.011066	 -0.012390	 -0.005298	 0.017437
-0.782309	 0.554920	 0.241479	 -0.010830	 -0.012564	 -0.005373	 0.017436
-0.793140	 0.542356	 0.236106	 -0.010591	 -0.012734	 -0.005447	 0.017435
-0.803730	 0.529622	 0.230659	 -0.010349	 -0.012899	 -0.005519	 0.017434
-0.814079	 0.516722	 0.225140	 -0.010103	 -0.013061	 -0.005590	 0.017433
-0.824182	 0.503661	 0.219550	 -0.009855	 -0.013219	 -0.005658	 0.017432
-0.834037	 0.490443	 0.213892	 -0.009604	 -0.013372	 -0.005725	 0.017431
-0.843641	 0.477071	 0.208167	 -0.009350	 -0.013521	 -0.005790	 0.017429
-0.852992	 0.463549	 0.202377	 -0.009094	 -0.013666	 -0.005853	 0.017428
-0.862086	 0.449883	 0.196524	 -0.008835	 -0.013807	 -0.005915	 0.017426
-0.870921	 0.436077	 0.190609	 -0.008574	 -0.013943	 -0.005974	 0.017425
-0.879495	 0.422134	 0.184635	 -0.008310	 -0.014075	 -0.006032	 0.017423
-0.887806	 0.408059	 0.178603	 -0.008045	 -0.014203	 -0.006088	 0.017421
-0.895850	 0.393856	 0.172515	 -0.007776	 -0.014326	 -0.006142	 0.017419
-0.903627	 0.379530	 0.166373	 -0.007506	 -0.014445	 -0.006194	 0.017417
-0.911133	 0.365085	 0.160179	 -0.007234	 -0.014559	 -0.006244	 0.017415
-0.918367	 0.350526	 0.153935	 -0.006960	 -0.014669	 -0.006292	 0.017413
-0.925327	 0.335857	 0.147643	 -0.006684	 -0.014774	 -0.006338	 0.017411
-0.932011	 0.321083	 0.141305	 -0.006406	 -0.014875	 -0.006383	 0.017408
-0.938418	 0.306208	 0.134922	 -0.006127	 -0.014971	 -0.006425	 0.017406
-0.944545	 0.291237	 0.128497	 -0.005846	 -0.015063	 -0.006465	 0.017403
-0.950391	 0.276174	 0.122032	 -0.005564	 -0.015150	 -0.006504	 0.017400
-0.955956	 0.261024	 0.115528	 -0.005281	 -0.015232	 -0.006540	 0.017398
-0.961236	 0.245792	 0.108988	 -0.004996	 -0.015310	 -0.006575	 0.017395
-0.966232	 0.230482	 0.102414	 -0.004710	 -0.015383	 -0.006607	 0.017392
-0.970941	 0.215099	 0.095807	 -0.004422	 -0.015452	 -0.006637	 0.017389
-0.975364	 0.199647	 0.089169	 -0.004134	 -0.015515	 -0.006666	 0.017386
-0.979498	 0.184132	 0.082503	 -0.003845	 -0.015575	 -0.006692	 0.017382
-0.983343	 0.168557	 0.075811	 -0.003556	 -0.015629	 -0.006717	 0.017379
-0.986899	 0.152928	 0.069094	 -0.003265	 -0.015679	 -0.006739	 0.017375
-0.990164	 0.137249	 0.062355	 -0.002974	 -0.015724	 -0.006759	 0.017372
-0.993138	 0.121525	 0.055596	 -0.002682	 -0.015764	 -0.006778	 0.017368
-0.995820	 0.105761	 0.048818	 -0.002390	 -0.015800	 -0.006794	 0.017364
-0.998211	 0.089961	 0.042024	 -0.002098	 -0.015831	 -0.006809	 0.017360
-1.000309	 0.074130	 0.035215	 -0.001805	 -0.015858	 -0.006821	 0.017356
-1.002114	 0.058272	 0.028394	 -0.001512	 -0.015879	 -0.006831	 0.017352
-1.003626	 0.042393	 0.021563	 -0.001220	 -0.015896	 -0.006839	 0.017348
-1.004846	 0.026496	 0.014724	 -0.000927	 -0.015909	 -0.006846	 0.017344
-1.005773	 0.010588	 0.007878	 -0.000634	 -0.015916	 -0.006850	 0.017339
-1.006407	 -0.005329	 0.001028	 -0.000342	 -0.015919	 -0.006852	 0.017335
-1.006748	 -0.021248	 -0.005824	 -0.000050	 -0.015918	 -0.006853	 0.017330
-1.006798	 -0.037166	 -0.012677	 0.000242	 -0.015912	 -0.006851	 0.017326
-1.006556	 -0.053078	 -0.019528	 0.000533	 -0.015901	 -0.006847	 0.017321
-1.006022	 -0.068979	 -0.026375	 0.000824	 -0.015886	 -0.006842	 0.017316
-1.005198	 -0.084865	 -0.033217	 0.001114	 -0.015866	 -0.006834	 0.017311
-1.004084	 -0.100730	 -0.040051	 0.001404	 -0.015841	 -0.006824	 0.017306
-1.002680	 -0.116572	 -0.046875	 0.001692	 -0.015812	 -0.006813	 0.017301
-1.000988	 -0.132384	 -0.053688	 0.001980	 -0.015779	 -0.006800	 0.017295
-0.999009	 -0.148163	 -0.060488	 0.002266	 -0.015741	 -0.006784	 0.017290
-0.996743	 -0.163904	 -0.067272	 0.002551	 -0.015699	 -0.006767	 0.017284
-0.994191	 -0.179603	 -0.074039	 0.002836	 -0.015652	 -0.006748	 0.017279
-0.991356	 -0.195255	 -0.080786	 0.003119	 -0.015601	 -0.006727	 0.017273
-0.988237	 -0.210856	 -0.087513	 0.003400	 -0.015545	 -0.006704	 0.017267
-0.984836	 -0.226401	 -0.094216	 0.003681	 -0.015486	 -0.006679	 0.017261
