x	 y	 z	 vx	 vy	 vz	 [v]
18.381750	 -7.257980	 -3.438750	 0.001545	 0.003135	 0.001351	 0.003747
18.383295	 -7.254845	 -3.437399	 0.001544	 0.003136	 0.001352	 0.003747
18.384838	 -7.251709	 -3.436047	 0.001543	 0.003136	 0.001352	 0.003747
18.386381	 -7.248573	 -3.434695	 0.001543	 0.003136	 0.001352	 0.003747
18.387924	 -7.245437	 -3.433344	 0.001542	 0.003136	 0.001352	 0.003747
18.389465	 -7.242301	 -3.431992	 0.001541	 0.003137	 0.001352	 0.003747
18.391006	 -7.239164	 -3.430640	 0.001541	 0.003137	 0.001352	 0.003747
18.392548	 -7.236028	 -3.429288	 0.001540	 0.003137	 0.001352	 0.003747
18.394087	 -7.232891	 -3.427935	 0.001539	 0.003137	 0.001352	 0.003747
18.395626	 -7.229753	 -3.426583	 0.001539	 0.003138	 0.001353	 0.003747
18.397165	 -7.226615	 -3.425230	 0.001538	 0.003138	 0.001353	 0.003747
18.398703	 -7.223477	 -3.423877	 0.001537	 0.003138	 0.001353	 0.003747
18.400240	 -7.220339	 -3.422525	 0.001536	 0.003138	 0.001353	 0.003747
18.401777	 -7.217201	 -3.421172	 0.001536	 0.003139	 0.001353	 0.003747
18.403313	 -7.214062	 -3.419819	 0.001535	 0.003139	 0.001353	 0.003747
18.404848	 -7.210923	 -3.418465	 0.001534	 0.003139	 0.001353	 0.003747
18.406384	 -7.207784	 -3.417112	 0.001534	 0.003140	 0.001353	 0.003747
18.407917	 -7.204645	 -3.415759	 0.001533	 0.003140	 0.001354	 0.003747
18.409451	 -7.201505	 -3.414405	 0.001532	 0.003140	 0.001354	 0.003747
18.410982	 -7.198365	 -3.413051	 0.001532	 0.003140	 0.001354	 0.003747
18.412514	 -7.195224	 -3.411698	 0.001531	 0.003141	 0.001354	 0.003747
18.414045	 -7.192084	 -3.410344	 0.001530	 0.003141	 0.001354	 0.003747
18.415575	 -7.188943	 -3.408990	 0.001530	 0.003141	 0.001354	 0.003747
18.417105	 -7.185802	 -3.407635	 0.001529	 0.003141	 0.001354	 0.003747
18.418634	 -7.182661	 -3.406281	 0.001528	 0.003142	 0.001354	 0.003747
18.420162	 -7.179519	 -3.404927	 0.001528	 0.003142	 0.001355	 0.003747
18.421690	 -7.176377	 -3.403572	 0.001527	 0.003142	 0.001355	 0.003747
18.423218	 -7.173235	 -3.402218	 0.001526	 0.003142	 0.001355	 0.003747
18.424744	 -7.170093	 -3.400863	 0.001526	 0.003143	 0.001355	 0.003747
18.426270	 -7.166950	 -3.399508	 0.001525	 0.003143	 0.001355	 0.003747
18.427795	 -7.163807	 -3.398153	 0.001524	 0.003143	 0.001355	 0.003747
18.429319	 -7.160664	 -3.396798	 0.001524	 0.003143	 0.001355	 0.003747
18.430843	 -7.157520	 -3.395442	 0.001523	 0.003144	 0.001355	 0.003747
18.432365	 -7.154377	 -3.394087	 0.001522	 0.003144	 0.001356	 0.003747
18.433887	 -7.151233	 -3.392731	 0.001522	 0.003144	 0.001356	 0.003747
18.435410	 -7.148088	 -3.391376	 0.001521	 0.003145	 0.001356	 0.003747
18.436930	 -7.144944	 -3.390020	 0.001520	 0.003145	 0.001356	 0.003747
18.438450	 -7.141799	 -3.388664	 0.001520	 0.003145	 0.001356	 0.003747
18.439970	 -7.138654	 -3.387308	 0.001519	 0.003145	 0.001356	 0.003747
18.441488	 -7.135509	 -3.385952	 0.001518	 0.003146	 0.001356	 0.003747
18.443007	 -7.132363	 -3.384595	 0.001518	 0.003146	 0.001356	 0.003747
18.444525	 -7.129217	 -3.383239	 0.001517	 0.003146	 0.001357	 0.003747
18.446041	 -7.126071	 -3.381882	 0.001516	 0.003146	 0.001357	 0.003747
18.447557	 -7.122925	 -3.380526	 0.001516	 0.003147	 0.001357	 0.003747
18.449074	 -7.119778	 -3.379169	 0.001515	 0.003147	 0.001357	 0.003747
18.450588	 -7.116632	 -3.377812	 0.001514	 0.003147	 0.001357	 0.003747
